Discord Name,Squadron Name,Current Rank Id,Expected Rank Id,Due To Role
[PC] CMDR SPT,SPT,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
Annalith,Annalith,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
ArbitraryEmu,ArbitraryEmu,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
Ausplat,AuSplat,Regular Customer,Bar Fly,EDAKL Veterans
Baldwinn,Baldwinn,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
Bentantwisted,Bentan Twisted,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR -=DruiD=-,-=DruiD=-,Blow Ins,Bar Fly,EDAKL Veterans
CMDR ~RIDDICK~,~RIDDICK~,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR 6SandMan6,6SandMan6,Bar Fly,Regular Customer,EDAKL Members (PC/MAC)
CMDR Agent Dagger,agent dagger,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR ALEXANDER FLETCHER,Alexander Fletcher,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR ALPHA-1-1,"ALPHA-1-1 ""STRIFE""",Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Alterwind,Alterwind,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR ApexHunter53,APEXHUNTER53,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Atlan Oz,Atlan Oz,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Auru'myn,Auru'myn,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Azzmanthe,azzmanthe,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Ben Cysco,Ben Cysco,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
Cmdr Bert Badasaz,BERT badasaz,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR BIGREX,Bigrex,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Billyami,Billyami,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Blade Rider,BLADE RIDER,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Bonkers Jeff,BonkersJeff,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Captain Hiro,Captain Hiro,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Carlos Spicywein3r,Carlos Spicywein3r,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Cazare,Cazare,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR CELGB,CELGB,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Cerbervs Blackwood,CERBERVS BLACKWOOD,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Cerelen,Cerelen,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Chudwhump McGortnord,Chudwhump Mcgortnord,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Churly,CHURLY,Bar Staff,Bar Fly,EDAKL Veterans
CMDR Corvus Stirling,Corvus stirling,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
